mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.008054335912068685,0.0017633824975747962,0.0013182957967122395,0.0005056699127016927,3,2,10,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 10}",1.0,0.8857142857142857,0.9428571428571428,0.9428571428571427,0.04665694748158436,16
0.02850651741027832,0.0023178771256016175,0.0012698173522949219,3.804600785212805e-05,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9523809523809524,0.02693740118805896,1
0.07080960273742676,0.003548092815653784,0.0020443598429361978,4.337485693017682e-05,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.9714285714285714,0.8571428571428571,0.9714285714285714,0.9333333333333332,0.05387480237611792,20
0.0060850779215494795,0.001618787784550574,0.0008465449015299479,0.0003131541488441202,3,5,10,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 10}",1.0,0.8857142857142857,0.9428571428571428,0.9428571428571427,0.04665694748158436,16
0.04992238680521647,0.0033492215195711464,0.0011887550354003906,1.3347182276037603e-05,3,5,50,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",0.9714285714285714,0.8571428571428571,0.9714285714285714,0.9333333333333332,0.05387480237611792,20
0.07296299934387207,0.001509533559706687,0.002736647923787435,0.0012476701785629914,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.9714285714285714,0.8571428571428571,0.9714285714285714,0.9333333333333332,0.05387480237611792,20
0.0115354855855306,0.005036180617943802,0.001104593276977539,0.0007166722100228691,3,10,10,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 10}",1.0,0.8571428571428571,0.9428571428571428,0.9333333333333332,0.05870870479018075,20
0.02950398127237956,0.0012373438425230818,0.0011439323425292969,1.787662442508268e-05,3,10,50,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50}",0.9714285714285714,0.8571428571428571,0.9714285714285714,0.9333333333333332,0.05387480237611792,20
0.06668798128763835,0.005751419538402379,0.003322760264078776,0.0017775911144468804,3,10,100,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.9714285714285714,0.8571428571428571,0.9714285714285714,0.9333333333333332,0.05387480237611792,20
0.003957668940226237,7.352429370985961e-05,0.0004547437032063802,1.539887917173114e-05,5,2,10,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",1.0,0.8857142857142857,0.9714285714285714,0.9523809523809524,0.048562090605645584,1
0.036592324574788414,0.014372142956752097,0.0036145846048990884,0.0035723481584096356,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.9714285714285714,0.9142857142857143,0.9714285714285714,0.9523809523809524,0.02693740118805896,1
0.06066576639811198,0.003331056235798559,0.0030656655629475913,0.0016519581053127245,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.9428571428571428,0.8857142857142857,0.9714285714285714,0.9333333333333332,0.03563483225498993,20
0.007504383722941081,0.0029276675044033057,0.0008422533671061198,0.0003721290836254842,5,5,10,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 10}",1.0,0.8857142857142857,0.9428571428571428,0.9428571428571427,0.04665694748158436,16
0.033665100733439125,0.006544392484723702,0.0024706522623697915,0.0018501961068553426,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.9714285714285714,0.8857142857142857,0.9714285714285714,0.942857142857143,0.04040610178208844,7
0.0799105167388916,0.013829479511961068,0.0019626617431640625,2.7161586580833974e-05,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.9714285714285714,0.8857142857142857,0.9714285714285714,0.942857142857143,0.04040610178208844,7
0.005309661229451497,0.0019221793436189551,0.0037383238474527993,0.004567103076945431,5,10,10,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 10}",1.0,0.8857142857142857,0.9714285714285714,0.9523809523809524,0.048562090605645584,1
0.03014977773030599,0.008912428747895697,0.0011173089345296223,4.660431064751155e-05,5,10,50,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}",0.9714285714285714,0.8857142857142857,0.9714285714285714,0.942857142857143,0.04040610178208844,7
0.06487258275349934,0.006931015577180117,0.007217804590861003,0.007589604839417674,5,10,100,"{'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.9714285714285714,0.8857142857142857,0.9714285714285714,0.942857142857143,0.04040610178208844,7
0.0039826234181722,3.163059751939019e-05,0.00045935312906901043,9.695037444696154e-06,10,2,10,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",1.0,0.8857142857142857,0.9714285714285714,0.9523809523809524,0.048562090605645584,1
0.030069748560587566,0.007887526671577404,0.0011176268259684246,2.4133592801708926e-05,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9428571428571428,0.9142857142857143,0.9714285714285714,0.942857142857143,0.02332847374079218,7
0.07584436734517415,0.008354370564640267,0.0019102891286214192,6.841057738322583e-05,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9428571428571428,0.8857142857142857,0.9714285714285714,0.9333333333333332,0.03563483225498993,20
0.013147115707397461,0.008067188850111833,0.0008730093638102213,0.0005219688005297112,10,5,10,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 10}",1.0,0.8857142857142857,0.9428571428571428,0.9428571428571427,0.04665694748158436,16
0.03322148323059082,0.010795163996188501,0.0011231104532877605,3.526356849313316e-05,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.9714285714285714,0.8857142857142857,0.9714285714285714,0.942857142857143,0.04040610178208844,7
